year,school,over_500,srs,pace,o_rtg,3pa_rate,ts_percent,trb_percent,ast_percent,stl_percent,blk_percent,tov_percent,orb_percent
2021-22,Niagara,FALSE,-3.09,65.7,101.3,0.361,0.533,48.7,49.8,8.5,7.5,14.7,23.2
2021-22,Nicholls State,TRUE,-3.62,72.5,107.5,0.379,0.542,50.9,44,11.3,10.6,14.5,31.5
2021-22,NJIT,FALSE,-14.63,67.3,92.4,0.355,0.496,47.9,44.7,8.9,10.4,16.8,23
2021-22,Norfolk State NCAA,TRUE,-3.91,70.7,105,0.356,0.554,53.4,47.4,9.4,11.2,17.3,30.7
2021-22,North Alabama,FALSE,-11.33,70.6,97.4,0.413,0.493,48.2,40.4,9.6,9.4,14.5,27.5
2021-22,UNC Asheville,TRUE,-4.52,68,108.3,0.398,0.565,48.7,49,9.3,12.2,15.6,27.7
2021-22,North Carolina A&T,FALSE,-9.91,68.5,98.1,0.341,0.503,49.3,48.6,11.3,9.8,15.9,29.9
2021-22,North Carolina Central,TRUE,-11.39,70.9,101.5,0.336,0.534,52.3,47.5,12.2,7,18.8,33.5
2021-22,UNC Greensboro,TRUE,-2.47,63.2,101.9,0.393,0.528,54,51.5,10,5.8,17.4,33.3
2021-22,NC State,FALSE,3.77,67.9,105.4,0.392,0.514,48.1,43.9,10.2,9.6,12.4,30.2
2021-22,UNC Wilmington,TRUE,-0.66,66.7,105.8,0.362,0.526,47.5,42.4,11.2,10.7,12.8,28
2021-22,North Carolina NCAA,TRUE,15.5,70.3,109.7,0.381,0.551,55.8,54.1,7.3,9.7,14.2,31.8
2021-22,North Dakota State,TRUE,-1.6,68.2,108,0.373,0.566,53.4,42.3,5.6,8.4,15,25.3
2021-22,North Dakota,FALSE,-16.57,69.4,100.9,0.441,0.519,49.4,50.5,5.7,4.9,15,26.6
2021-22,North Florida,FALSE,-8.35,69.1,98.4,0.501,0.534,46.2,54.3,8,10.8,18.5,26.2
2021-22,North Texas,TRUE,8.98,60.6,106.5,0.423,0.543,53.6,48.6,10.7,8,16,32.3
2021-22,Northeastern,FALSE,-6,65.4,97.5,0.405,0.536,51.6,49.6,7.1,7.7,18.9,26.3
2021-22,Northern Arizona,FALSE,-13.5,67.8,98.9,0.419,0.517,52.2,52.3,6.6,6.9,17.1,28.6
2021-22,Northern Colorado,TRUE,-4.53,70.7,109.2,0.462,0.586,50.5,44.5,5.6,7.1,15.7,22.9
2021-22,Northern Illinois,FALSE,-10.5,68.6,93.1,0.335,0.505,47.1,48.8,9.1,7.9,17.7,24.3
2021-22,Northern Iowa,TRUE,5.79,67.6,108,0.436,0.576,50.1,45.8,8.3,4.8,14.7,21
2021-22,Northern Kentucky,TRUE,-3.19,65.6,104.9,0.432,0.531,51.9,54.7,13.6,7.4,16.6,35.3
2021-22,Northwestern State,FALSE,-14.06,73.2,100.9,0.338,0.526,48.5,53.7,8.7,8.6,16.6,29.3
